Region,"GRDP(PHP, thousands)","Agriculture(PHP, thousands)","Industry(PHP, thousands)","Services(PHP, thousands)",GRDP per capita(PHP)
Metro Manila,6309290637.0,442597.0,1230125141.0,5078722899.0,462779.0
Cordillera,322093866.0,27045337.0,77990725.0,217057804.0,179752.0
Ilocos Region,629772047.0,104471256.0,192218332.0,333082459.0,120512.0
Cagayan Valley,397625523.0,103563850.0,115614177.0,178447496.0,109851.0
Central Luzon,2177046900.0,231995441.0,950969430.0,994082029.0,179840.0
Calabarzon,2861724791.0,154312287.0,1445358775.0,1262053729.0,181781.0
Mimaropa,377014287.0,64116478.0,125427469.0,187470340.0,120240.0
Bicol Region,560314934.0,85820150.0,202529524.0,271965260.0,92288.0
Western Visayas,916379059.0,144256702.0,194479931.0,577642425.0,116946.0
Central Visayas,1266701029.0,79478668.0,342195668.0,845026693.0,161289.0
Eastern Visayas,465694628.0,61219158.0,181914842.0,222560628.0,99492.0
Zamboanga Peninsula,397206561.0,74695151.0,110467600.0,212043810.0,105798.0
Northern Mindanao,882204432.0,182955342.0,208580211.0,490668878.0,177998.0
Davao Region,922094956.0,149438384.0,233452398.0,539204175.0,176983.0
Soccsksargen,470422524.0,130802115.0,103321113.0,236299297.0,108561.0
Caraga,306308490.0,39908783.0,109464024.0,156935683.0,112489.0
Bangsamoro,254523606.0,87689432.0,63191105.0,103643069.0,55151.0
